,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,28001,Reach Me,"Featuring a bewildering array of talented actors pummeled by disjointed direction and a dull, hackneyed script, Reach Me is so fundamentally misbegotten that its title reads more like a threat.",4%,23,48%,557,"A motivational book written by a mysterious man (Tom Berenger) goes viral and quickly gains popularity, inspiring a group of people that includes a journalist (Kevin Connolly), his editor (Sylvester Stallone), a former inmate (Kyra Sedgwick), a hip-hop mogul (Nelly), an actor (Cary Elwes) and an undercover cop (Thomas Jane) to re-evaluate their choices and decisions by confronting their fears in hopes of creating more positive lives. REACH ME also stars Terry Crews, Danny Aiello, Kelsey Grammer, Lauren Cohan, Ryan Kwanten, Tom Sizemore, and is written/directed by John Herzfield. The film is produced by Rebekah Chaney, Cassian Elwes, John Herzfield, and Buddy Patrick. (C) Millennium","PG-13 (for sexual content, violence, language, drug use, and smoking.)",Drama,John Herzfeld,Millennium Entertainment,95 minutes,"Kyra Sedgwick, Danny Aiello, Cary Elwes"
1,28009,The Last Gladiators,N/A,90%,10,80%,350,Academy Award (R) Winning Director Alex Gibney examines the NHLs most feared enforcers while also exploring the career of Chris Nilan. (c) Official FB,R (for language),"Documentary, Special Interest, Sports & Fitness",Alex Gibney,Phase 4 Films,94 minutes,"Chris Nilan, Tony Twist, Marty McSorley"
2,28018,100 Bloody Acres,N/A,79%,38,46%,1639,"In 100 BLOODY ACRES, brothers Reg and Lindsay Morgan are struggling to keep their organic blood and bone fertilizer business in motion. Their secret ""recipe"" for success (using dead car crash victims in their product) was a huge boon to business, but lately supply has been gravely low. Months have passed since their last find, and an important new customer is now waiting on a delivery. When junior partner Reg (Damon Herriman of Justified) stumbles upon 3 travelers stranded on a remote country road, he cooks up a radical solution to their problem, and a way of finally gaining the respect of his bossy big brother (Angus Sampson). But when Reg starts to fall for Sophie, one of the intended victims, things get complicated... A bloody good time, the Cairnes brothers witty horror-comedy blends sly Australian humor, gory fun, and a clever storyline that gives ""recycling"" a whole new context. (c) Doppelgänger Releasing",NR,"Comedy, Horror","Colin Cairnes, Cameron Cairnes",Doppelganger Releasing,91 minutes,"Damon Herriman, Angus Sampson, Anna McGahan"
3,28065,Killing Kennedy,N/A,56%,18,42%,326,"Based on the best-selling book by Bill OReilly and Martin Dugard, Killing Kennedy begins in 1959, at major turning points for both the future president and his assassin. John F. Kennedy (played by Emmy-award winner Rob Lowe) is in Washington, D.C., preparing to announce his presidential candidacy, while Lee Harvey Oswald finds himself in the U.S. embassy in Moscow, renouncing his U.S. citizenship. These two events start both men-one a member of one of the United States most wealthy and powerful families, the other a disillusioned former Marine and Marxist-on a cataclysmic track that would alter the course of history. Throughout the film, we see their highs and lows, culminating in not one but two shocking deaths that stunned the nation. (c) National Geographic",NR,Drama,Nelson McCormick,National Geographic Entertainment,88 minutes,"Rob Lowe, Ginnifer Goodwin, Will Rothhaar"
4,28070,Beer for My Horses,N/A,0%,7,62%,5799,"Country music star Toby Keith writes and stars in this road movie comedy as a deputy who takes to the road with a fellow cop (played by co-writer Rodney Carrington) in order to save their kidnapped girlfriends. The CMT Films production is directed by Michael Salomon (A Glimpse of Hell), with Ted Nugent, Willie Nelson, Claire Forlani, Barry Corbin, and Tom Skerritt filling out the supporting cast.","PG-13 (for some violence, sexual humor and dialogue, language, drug content and brief nudity)",Comedy,"Michael Salomon, Mikael Salomon",Roadside Attractions,89 minutes,"Toby Keith, Rodney Carrington, Ted Nugent"
5,28071,Beethoven's 3rd,N/A,0%,7,24%,75422,"Beethoven the Saint Bernard is back in this comedy for the whole family, in which the Newton Family (with their rather large pet in tow) hops into their camper for a cross-country vacation. Along the way, they encounter a gang of bad guys. Can Beethoven help bring them to justice? Beethovens 3rd stars Judge Reinhold, Julia Sweeney, Jamie Marsh, and Michaela Gallo. Charles Grodin, star of the first two films, opted not to appear in this one.",G (adult situations),"Comedy, Kids & Family",David Mickey Evans,Universal Studios Home Video,98 minutes,"Judge Reinhold, Julia Sweeney, James Marsh"
6,28081,Greetings From Tim Buckley,"Slight yet resonant, Greetings from Tim Buckley honors a family's musical legacy while offering Penn Badgley a remarkable opportunity to display his dramatic gifts.",72%,32,46%,1757,"In 1991, a young musician named Jeff Buckley (Penn Badgley, ""Gossip Girl,"" MARGIN CALL) rehearses for his public singing debut at a Brooklyn tribute concert for his father, the late folk singer Tim Buckley. Struggling with the legacy of a man he barely knew, Jeff finds solace in a relationship with an enigmatic young woman (Imogen Poots, 28 WEEKS LATER) working at the show. As they explore New York City, their adventures recall glimpses of Tims (Ben Rosenfield) own 60s heyday, as he drives cross-country with a girlfriend and finds himself on the verge of stardom. Leading up to the now-legendary show that launched Jeffs own brilliant career, GREETINGS FROM TIM BUCKLEY is a poignant mirror portrait of father and son, two of the most beloved singer-songwriters of their generations. -- (C) Tribeca",NR,Drama,Dan Algrant,Tribeca Film,99 minutes,"Penn Badgley, Imogen Poots, Norbert Leo Butz"
7,28085,Hercules,"Fast-paced and packed with dozens of pop culture references, Hercules might not measure up with the true classics of the Disney pantheon, but it's still plenty of fun.",84%,55,76%,388756,"Disneys animation team dipped into the rich well of ancient mythology for this musical comedy. The son of Greek gods Zeus (voice of Rip Torn) and Hera (Samantha Eggar), Hercules (voice of Josh Keaton) is stolen as a boy by the minions of Hades (voice of James Woods), lord of the underworld. Forced to live among humans, Hercules is turned into a half-god and half-mortal after drinking a forbidden potion brewed by Hades right hand men, Pain (voice of Bob Goldthwait) and Panic (voice of Matt Frewer). Now Hercules has the remarkable strength of a god, but is trapped in the body of a human, and before he learns how to use his power properly he goes through a typically adolescent awkward period. In order to become a god and return to his home on Mount Olympus, Hercules must prove himself a true hero on Earth. With the assistance of Philotes (voice of Danny De Vito), a plucky satyr known as ""Phil,"" the grown-up Hercules (voice of Tate Donovan) learns to use his strength to his advantage and becomes a famous and benevolent protector of those around him, successfully battling a variety of gods and monsters. However, Hades, wanting to cut Hercules down to size, sends his secret weapon after him -- Megara (voice of Susan Egan), a seductively beautiful woman under Hades control, who is to win Hercules heart and render him helpless against the forces of the underworld. Acclaimed British cartoonist Gerald Scarfe served as production designer for this project, while Alan Menken wrote the musical score. Incidentally, for the Spanish language version of the film, Latin pop singer Ricky Martin provided the singing voice of Hercules, two years before he became a chart-topping sensation in America with his hit single ""Livin la Vida Loca.""",G,"Animation, Kids & Family, Science Fiction & Fantasy","John Musker, Ron Clements",Buena Vista Internationa,93 minutes,"Tate Donovan, Danny DeVito, James Woods"
8,28087,Little Monsters,N/A,50%,8,62%,48924,"Lonely 11 year old Brian (Fred Savage) makes an unusual new friend when he captures Maurice (Howie Mandel), the mischievous monster who lives under his bed, and stumbles into an exciting new world where mythical creatures really exist. When Brian learns that he, too, will become a monster unless he turns his back Maurice, however, he struggles with the prospect of losing the only real friend hes ever known.","PG (adult situations/language, violence)","Comedy, Kids & Family, Science Fiction & Fantasy","Richard Alan Greenberg, Richard Greenberg",MGM Home Entertainment,100 minutes,"Fred Savage, Howie Mandel, Daniel Stern"
9,28090,Pulse,"Another stale American remake of a successful Japanese horror film, Pulse bypasses the emotional substance of the original and overcompensates with pumped-up visuals and every known horror cliche.",11%,73,27%,83301,"Imagine our wireless technologies made a connection to a world beyond our own. Imagine that world used that technology as a doorway into ours. Now, imagine the connection we made cant be shut down. When you turn on your cell phone or log on to your e-mail, theyll get in, youll be infected, and theyll be able to take from you what they dont have anymore--life.","PG-13 (for intense sequences of sci-fi terror, disturbing images, language, sensuality and thematic material)","Horror, Mystery & Suspense",Jim Sonzero,The Weinstein Company,85 minutes,"Kristen Bell, Ian Somerhalder, Christina Milian"
10,28099,The Secret World of Arrietty,"Visually lush, refreshingly free of family-friendly clatter, and anchored with soulful depth, The Secret World of Arrietty lives up to Studio Ghibli's reputation.",95%,150,85%,61036,"Arrietty (Bridgit Mendler), a tiny, but tenacious 14-year-old, lives with her parents (Will Arnett and Amy Poehler) in the recesses of a suburban garden home, unbeknownst to the homeowner and her housekeeper (Carol Burnett). Like all little people, Arrietty (AIR-ee-ett-ee) remains hidden from view, except during occasional covert ventures beyond the floorboards to ""borrow"" scrap supplies like sugar cubes from her human hosts. But when 12-year-old Shawn (David Henrie), a human boy who comes to stay in the home, discovers his mysterious housemate one evening, a secret friendship blossoms. If discovered, their relationship could drive Arriettys family from the home and straight into danger. -- (C) Disney",G,"Animation, Art House & International, Science Fiction & Fantasy",Hiromasa Yonebayashi,Walt Disney Pictures,94 minutes,"Mirai Shida, Ryûnosuke Kamiki, Kirin Kiki"
11,28124,Charlie Victor Romeo,N/A,84%,19,84%,165,"When you board an airplane, you put your life in the hands of the pilot and co-pilot. What happens in the cockpit when these professionals are faced with impending disaster? CHARLIE VICTOR ROMEO (code for ""cockpit voice recorder"") dramatizes actual black box recordings of six harrowing airline emergencies, using the sparest of elements to foreground the unabashedly heroic professionalism of these unsung men and women. Adapted from a critically-acclaimed theatrical production, the movie - shot and projected in 3-D - puts you in the cockpit as they do everything possible to land under near-impossible circumstances: a plane that can only make right turns; blown engines due to bird strikes; or failed hydraulics, resulting from maintenance negligence. ""For 80 minutes, the movie keeps you in something like suspended animation, waiting to exhale. Youve never seen anything like it."" - Scott Foundas, Village Voice (c) Film Forum",NR,"Documentary, Special Interest","Karlyn Michelson, Robert Berger",Charlie Victor Romeo LLC,80 minutes,"Robert Berger, Patrick Daniels, Noel Dinneen"
12,28126,Super Duper Alice Cooper,N/A,50%,6,74%,208,"Super Duper Alice Cooper is the twisted tale of a teenage Dr Jekyll whose rock n roll Mr Hyde almost kills him. It is the story of Vincent Furnier, preachers son, who struck fear into the hearts of parents as Alice Cooper, the ultimate rock star of the bizarre. From the advent of Alice as front man for a group of Phoenix freaks in the 60s to the hazy decadence of celebrity in the 70s to his triumphant comeback as 80s glam metal godfather, we will watch as Alice and Vincent battle for each others souls. The is the first ever doc opera - a dizzying blend of documentary archive footage, animation and rock opera that will cement forever the legend of Alice Cooper.",NR,"Documentary, Musical & Performing Arts","Reginald Harkema, Sam Dunn, Scot McFadyen",Banger Films Inc.,127 minutes,"Alice Cooper, Dee Snider, Shep Gordon"
13,28131,The Hateful Eight,"The Hateful Eight offers another well-aimed round from Quentin Tarantino's signature blend of action, humor, and over-the-top violence -- all while demonstrating an even stronger grip on his filmmaking craft.",75%,327,76%,73042,"Set six or eight or twelve years after the Civil War, a stagecoach hurtles through the wintry Wyoming landscape. The passengers, bounty hunter John Ruth and his fugitive Daisy Domergue, race towards the town of Red Rock where Ruth, known in these parts as ""The Hangman,"" will bring Domergue to justice. Along the road, they encounter two strangers: Major Marquis Warren, a black former union soldier turned infamous bounty hunter, and Chris Mannix, a southern renegade who claims to be the towns new Sheriff. Losing their lead on the blizzard, Ruth, Domergue, Warren and Mannix seek refuge at Minnies Haberdashery, a stagecoach stopover on a mountain pass. When they arrive at Minnies, they are greeted not by the proprietor but by four unfamiliar faces. Bob, whos taking care of Minnies while shes visiting her mother, is holed up with Oswaldo Mobray, the hangman of Red Rock, cow-puncher Joe Gage (Madsen), and Confederate General Sanford Smithers. As the storm overtakes the mountainside stopover, our eight travelers come to learn they may not make it to Red Rock after all...","R (for strong bloody violence, a scene of violent sexual content, language and some graphic nudity)",Western,Quentin Tarantino,The Weinstein Company,167 minutes,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh"
